#OTU ID,L1S8,L1S57,L1S76,L1S105,L1S140,L1S208,L1S257,L1S281
bacteria306,0,0,0,0,0,0.000101399,0,0.000132485
bacteria307,0,0,0,0,0,0,0,0
bacteria308,0,0,0,0,0,0,0,0
bacteria309,0,0,0,0,0,0,0,0
bacteria310,0,0,0,0,0,0,0,0
bacteria311,0,0,0,0,0,0,0,0
bacteria312,0,0,0,0,0,0,0,0
bacteria313,0,0,0,0,0,0,0,0
bacteria314,0,0,0,0,0,0,0,0
bacteria315,0,0,0,0,0,0,0,0
bacteria316,0,0,0,0,0,0,0,0
bacteria317,0,0,0,0,0,0,0,0
bacteria318,0,0,0,0,0,0,0,0
bacteria319,0,0,0,0,0,0,0,0
bacteria320,0,0,0,0,0,0,0,0
bacteria321,0,0.000204228,0.000113161,0,0,0,0.000279135,0.000264971
bacteria322,0,0,0.000339482,0,0,0,0,0
bacteria323,0,0.000714796,0.000452642,0.000110314,0,0,0.000837404,0.000397456
bacteria324,0,0,0,0,0,0,0,0
bacteria325,0,0,0,0,0,0,0,0
bacteria326,0,0,0,0,0,0,0,0
bacteria327,0,0,0,0,0,0,0,0
bacteria328,0,0,0,0,0,0,0,0
bacteria329,0,0,0,0,0,0,0,0
bacteria330,0,0,0.000113161,0.000110314,0.000471865,0.000101399,0,0
bacteria331,0.000120192,0.014704381,0.01188186,0.003750689,0.000117966,0,0.012840195,0.005696873
bacteria332,0,0,0,0,0,0,0,0
bacteria333,0,0,0,0,0,0,0,0
bacteria334,0,0,0,0,0,0,0,0
bacteria335,0,0,0,0,0,0,0,0
bacteria336,0,0,0,0,0,0,0,0
bacteria337,0,0,0,0,0,0,0,0
bacteria338,0,0,0,0,0,0,0,0
bacteria339,0,0,0,0,0,0,0,0
bacteria340,0,0,0,0,0,0,0,0
bacteria341,0,0,0,0,0,0,0,0
bacteria342,0,0,0,0,0,0,0,0
bacteria343,0,0.000408455,0,0.000110314,0,0,0,0
bacteria344,0,0,0,0,0,0,0.000139567,0
bacteria345,0,0,0,0,0.000117966,0.000506997,0,0
bacteria346,0,0,0,0,0,0,0,0
bacteria347,0,0,0,0,0,0,0,0
bacteria348,0,0,0,0,0,0,0,0
bacteria349,0,0,0,0,0,0,0,0
bacteria350,0,0,0,0,0,0,0,0
bacteria351,0,0,0,0,0,0,0,0
bacteria352,0,0,0,0,0,0,0,0
bacteria353,0,0,0,0,0,0,0,0
bacteria354,0.000240385,0,0.000339482,0.000551572,0.000117966,0.000101399,0,0
bacteria355,0,0,0,0,0,0,0,0
bacteria356,0,0,0,0,0,0,0,0
bacteria357,0,0,0,0,0,0,0,0
bacteria358,0,0,0,0,0,0,0,0
bacteria359,0,0,0,0,0,0,0,0
bacteria360,0,0,0,0,0,0,0,0
bacteria361,0,0,0,0,0,0,0,0
bacteria362,0,0,0,0,0,0,0,0
bacteria363,0.000240385,0,0,0,0.006960009,0.001115392,0.003768318,0.001987281
bacteria364,0.008293269,0.003778209,0.003507978,0.009376724,0.004954583,0.002129386,0.003907886,0.003444621
bacteria365,0,0,0,0,0,0,0,0
bacteria366,0,0,0,0,0,0,0,0
bacteria367,0,0,0,0,0,0,0,0
bacteria368,0,0,0,0,0,0,0,0
bacteria369,0,0,0,0,0,0,0,0
bacteria370,0,0,0,0,0,0,0,0
bacteria371,0,0,0,0.000220629,0,0.000202799,0,0.000132485
bacteria372,0,0,0,0,0,0,0,0
bacteria373,0,0,0,0,0,0,0,0
bacteria374,0,0,0,0,0,0,0,0
bacteria375,0,0,0,0,0,0,0,0
bacteria376,0,0,0,0,0,0,0,0
bacteria377,0,0,0,0,0,0,0,0.000132485
bacteria378,0,0,0,0,0,0,0,0
